,,,,Calculated pChEMBL,SMILES,
1072,-35.858997,-6.710749,new,6.512861625,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCCCC4)C(NC(OCC5=CC=CC=C5)=O)=C3,4
1073,-36.33632,-6.94504,new,7.214670165,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCOCC4)C(NC(OCC5=CC=CC=C5)=O)=C3,4
1074,-35.99825,-6.365101,new,7.050609993,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCN(C)CC4)C(NC(OCC5=CC=CC=C5)=O)=C3,4
1075,-35.180042,-7.3970356,new,6.844663963,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(OC4=CC=CC=C4)C(NC(OCC5=CC=CC=C5)=O)=C3,4
1076,-34.497192,-7.101742,new,7.13667714,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(SC4=CC=CC=C4)C(NC(OCC5=CC=CC=C5)=O)=C3,4
1077,-34.299015,-8.171368,new,6.835647144,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=CC=C3NC(OCC4=CC=CC=C4)=O,4
1078,-34.09504,-8.424552,new,6.798602876,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(Br)C=C3NC(OCC4=CC=CC=C4)=O,4
1079,-34.00227,-8.083199,new,6.869666232,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(C4=CC=CC=C4)C=C3NC(OCC5=CC=CC=C5)=O,4
1080,-31.658817,-7.113116,new,5.408935393,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC(NC(C4=CC=CC=C4)=O)=CC=C3CC(NC5=CC=CC=C5)=O,4
1081,-31.778118,-6.983829,new,5.769551079,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC(NC(C4=CC=CC=C4)=O)=CC=C3CC(NCC5=CC=CC=C5)=O,4
1082,-8.81778,-4.4232063,new,4.966576245,CNC1CC1C2=CC=CC=C2,4
1083,-8.559448,-4.14915,new,4.250263684,CN(C)C1CC1C2=CC=CC=C2,4
1084,-22.457617,-7.9528484,new,6.522878745,O=C(NCC1=CC=CC=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1085,-22.447481,-6.8424935,new,6.397940009,O=C(NCCC1=CC=CC=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1086,-22.280542,-6.359487,new,6.22184875,O=C(NCCC1=CC=CS1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1087,-21.377583,-6.790629,new,5.619788758,O=C(NCC1CCCCC1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1088,-21.477169,-6.6613865,new,5.236572006,O=C(NCCC1CCCCC1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1089,-22.166367,-8.122908,new,5.886056648,O=C(NCC1=CC=C(F)C=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1090,-22.153032,-8.102734,new,6.045757491,O=C(NCC1=CC=C(Br)C=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1091,-22.111364,-8.533426,new,4.494850022,O=C(NCC1=CC=C(OC)C=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1092,-22.545809,-8.208934,new,4.759450752,O=C(NCC1=CC=C(C2=CC=CC=C2)C=C1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1093,-21.633745,-6.929383,new,4.698970004,O=C(NCC(N)=O)C1=CC=C([C@H]2[C@H](N)C2)C=C1,4
1094,-23.056913,-7.527875,new,6.15490196,O=C(N(CC1=CC=CC=C1)CC2=CC=CC=C2)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1095,-18.826244,-4.8931527,new,6.301029996,O=C(N1CCN(C2=C(F)C=CC=C2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1096,-18.840958,-4.8782682,new,5.744727495,O=C(N1CCN(C2=C(C#N)C=CC=C2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1097,-18.562452,-5.469917,new,5.823908741,O=C(N1CCN(C2=CC=CC=N2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1098,-18.581337,-5.4991207,new,5.744727495,O=C(N1CCN(C2=NC=CC=N2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1099,-19.047192,-6.1968007,new,6.301029996,O=C(N1CCN(S(C2=CC=C(C)C=C2)(=O)=O)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4
1100,-18.940008,-5.9145494,new,6.045757491,O=C(N1CCN(S(C)(=O)=O)CC1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4
1101,-3.21021,-6.8869615,new,6.432855955,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NCC)=O,4
1102,-2.7127826,-6.9361715,new,6.697669071,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NCCC3=CC=CC=C3)=O,4
1103,-3.9693959,-6.6233683,new,6.307417438,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NC3CCCCC3)=O,4
1104,-3.1457381,-6.9221296,new,6.303381541,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NC(C)(C)C)=O,4
1105,-3.8249142,-7.320698,new,6.534319788,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NC3=CC=CC=C3)=O,4
1106,-3.9912522,-7.643766,new,6.075049111,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NC3=NC=CC=C3)=O,4
1107,-4.3611784,-5.5489516,new,6.700274846,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(N3CCOCC3)=O,4
1108,-4.329788,-5.604847,new,6.623058243,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(N3CCCC3)=O,4
1109,-3.3945377,-6.6379943,new,6.910448117,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(N(CC)CC)=O,4
1110,0.16728413,-6.716179,new,7.537602002,O=S(C1=CC=C([C@@H]2[C@@H](NCC3=CC=CC=C3)C2)C=C1)(N(CC)CC)=O,4
