,T1,T2,old/new,Calculated pChEMBL,SMILES,subset,subset
998,15.178677,-33.368237,new,9.522878745,N#CC(C=C1)=C(F)C=C1C2=C(C3=CC(F)=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,3,
1000,2.0403497,31.296793,new,4.517126416,CN1C(C2=NC(C3=CC=CC=C3)=CN2)=CC4=C1C=CS4,3,
1063,-34.66519,-13.333563,new,6.721246399,O=C(NC(CC1=CNC2=C1C=CC=C2)C(NC3=CC=C(C4CC4N)C=C3)=O)OCC5=CC=CC=C5,3,
1064,-35.5691,-13.714026,new,7.080921908,O=C(NC(CC1=CSC2=C1C=CC=C2)C(NC3=CC=C(C4CC4N)C=C3)=O)OCC5=CC=CC=C5,3,
1111,-17.270788,4.8262167,new,6.35261703,NC(C1)C1/C=C/C2=CC=CC=C2,3,
1112,-16.882896,4.9080257,new,4.690369833,NC(C1)C1/C=C\C2=CC=CC=C2,3,
1113,-17.142498,4.872043,new,5.368556231,NC(C1)C1/C=C(C)/C2=CC=CC=C2,3,
1114,-20.634909,5.2024207,new,6.046723663,N[C@H](C1)[C@@H]1/C(C)=C/C2=CC=CC=C2,3,
1115,-20.638958,5.6744275,new,6.385102784,N[C@H](C1)[C@@H]1/C(CC)=C/C2=CC=CC=C2,3,
1116,-10.24563,-4.0823984,new,6.103473783,NC(C1)C1C2=CC3=CC=CC=C3CC2,3,
1117,-10.0230255,-4.358729,new,5.026872146,NC(C1)C1C2=CCCCC2,3,
1118,-17.950422,4.5872946,new,8.142667504,C1(/C=C/C2C(NCC3CCNCC3)C2)=CC=CC=C1,3,
1119,-20.045029,4.5962095,new,8.37675071,C/C([C@H]1[C@H](NCC2CCNCC2)C1)=C\C3=CC=CC=C3,3,
1120,-21.641949,4.071008,new,8.537602002,C/C([C@H]1[C@H](N[C@@]2([H])CC[C@@](N)([H])CC2)C1)=C\C3=CC=CC=C3,3,
1121,-21.396704,5.000553,new,7.552841969,C/C([C@H]1[C@H](NC2CNC2)C1)=C\C3=CC=CC=C3,3,
1122,-21.67791,3.9548812,new,7.251811973,C/C([C@H]1[C@H](N[C@@]2([H])CC[C@@](NC(C)=O)([H])CC2)C1)=C\C3=CC=CC=C3,3,
1123,-20.369585,4.76609,new,8.055517328,C/C([C@H]1[C@H](NCC2=CN=CN2)C1)=C\C3=CC=CC=C3,3,
1124,-21.778744,3.873556,new,7.602059991,C/C([C@H]1[C@H](N[C@@]2([H])CC[C@@](O)([H])CC2)C1)=C\C3=CC=CC=C3,3,
1125,-21.58556,5.1186757,new,7.698970004,C/C([C@H]1[C@H](NC2CC(NCC2)=O)C1)=C\C3=CC=CC=C3,3,
1126,-22.227278,3.7090702,new,8.585026652,C/C([C@H]1[C@H](N[C@@]2([H])CC[C@@](NCCO)([H])CC2)C1)=C\C3=CC=CC=C3,3,
1127,-22.664576,3.699778,new,7.769551079,C/C([C@H]1[C@H](N[C@@]2([H])CC[C@@](NCCC(O)=O)([H])CC2)C1)=C\C3=CC=CC=C3,3,
1128,-22.940798,3.718923,new,7.698970004,[H][C@@]1(CC[C@@](NCCC(O)=O)([H])CC1)N[C@H](C2)[C@@H]2/C(CC)=C/C3=CC=CC=C3,3,
1129,-22.573042,6.388021,new,8.27572413,CC/C([C@H]1[C@H](NC2CC3(CNC3)C2)C1)=C\C4=CC=CC=C4,3,
1130,-22.674622,6.481726,new,8.522878745,CC/C([C@H]1[C@H](NC2CC3(CN(C4COC4)C3)C2)C1)=C\C5=CC=CC=C5,3,
1131,-22.625338,6.40375,new,8.113509275,CC/C([C@H]1[C@H](NC2CC3(CN(C(C)=O)C3)C2)C1)=C\C4=CC=CC=C4,3,
1132,-22.663015,6.4761744,new,8.397940009,CC/C([C@H]1[C@H](NC2CC3(CN(S(C)(=O)=O)C3)C2)C1)=C\C4=CC=CC=C4,3,
1163,-14.160492,13.4945,new,4.822175028,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=CC(C=CC=C6)=C6C=C5)=O,3,
1164,-13.706002,13.644994,new,4.863913903,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=CC(OC(C=C6C)=O)=C6C=C5)=O,3,
1165,-14.415036,12.694646,new,5.809668302,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=NC(F)=CC=C5)=O,3,
1166,-14.500391,12.755657,new,5.389339837,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=NC(Cl)=CC=C5)=O,3,
1167,-14.377027,12.68114,new,5.227678293,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=NC(Br)=CC=C5)=O,3,
1168,-14.676843,13.707047,new,5.14691047,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=C(Cl)N=CC=C5)=O,3,
1169,-14.396451,13.543585,new,4.91150953,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=C(Br)N=CC=C5)=O,3,
1170,-14.41774,13.366787,new,4.738261453,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(OC5=CN=CC(F)=C5)=O,3,
1171,-16.106573,12.242548,new,4.523023534,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(NC5=C(C(OC)=O)C=CC=C5)=O,3,
1172,-16.10881,12.247438,new,4.880744111,O=S(C1C[C@@H]2C(C3=CC=C(O)C=C3)=C(C4=CC=C(O)C=C4)[C@H]1O2)(NC5=CC=C(C(OC)=O)C=C5)=O,3,
1173,-15.192981,14.359767,new,4.760200182,OC(C=C1)=CC=C1C2=C(C3=CC=C(O)C=C3)[C@@H]4C(C(OC5=C(Cl)N=CC=C5)=O)C[C@H]2O4,3,
1174,-37.026318,15.53233,new,7.162411562,OC1=C2C(OC(C(N/N=C/C3=CC=CC=C3O)=O)=C2C)=CC=C1,3,
1175,-36.95849,16.091572,new,7.55129368,OC1=C2C(OC(C(N/N=C/C3=CC=CC(O)=C3O)=O)=C2C)=CC=C1,3,
1176,-37.115746,15.575314,new,7.850780887,OC1=C2C(OC(C(N/N=C/C3=CC=C(O)C=C3O)=O)=C2C)=CC=C1,3,
1177,-36.475296,15.52438,new,7.259637311,OC1=C2C(OC(C(N/N=C/C3=CC(O)=CC=C3O)=O)=C2C)=CC=C1,3,
1178,-37.014942,16.320734,new,8.142667504,OC1=C2C(OC(C(N/N=C/C3=CC=C(O)C(O)=C3O)=O)=C2C)=CC=C1,3,
1179,-37.583546,15.881228,new,7.49757288,OC1=C2C(OC(C(N/N=C/C3=CC=CC(F)=C3O)=O)=C2C)=CC=C1,3,
1180,-37.589737,16.098358,new,7.235973392,OC1=C2C(OC(C(N/N=C/C3=CC(F)=CC=C3O)=O)=C2C)=CC=C1,3,
1181,-37.846313,15.4842415,new,7.830325566,OC1=C2C(OC(C(N/N=C/C3=C(F)C=CC=C3O)=O)=C2C)=CC=C1,3,
1182,-36.724747,14.856341,new,7.504455662,OC1=C2C(OC(C(N/N=C/C3=CC(Cl)=CC=C3O)=O)=C2C)=CC=C1,3,
1183,-37.394375,14.801159,new,7.586700236,OC1=C2C(OC(C(N/N=C/C3=C(Cl)C=CC=C3O)=O)=C2C)=CC=C1,3,
1184,-36.544395,14.815184,new,7.226945307,OC1=C2C(OC(C(N/N=C/C3=CC(Cl)=CC(Cl)=C3O)=O)=C2C)=CC=C1,3,
1185,-36.179768,16.020065,new,7.283162277,OC1=C2C(OC(C(N/N=C/C3=CC=CC(Br)=C3O)=O)=C2C)=CC=C1,3,
1186,-36.511726,16.297527,new,7.568636236,OC1=C2C(OC(C(N/N=C/C3=CC=C(Br)C=C3O)=O)=C2C)=CC=C1,3,
1187,-36.581844,15.529867,new,7.625251654,OC1=C2C(OC(C(N/N=C/C3=CC(C)=CC=C3O)=O)=C2C)=CC=C1,3,
