,T1,T2,old/new,SMILES
1144,40.149174,11.443234,new,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=CC=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2
1145,40.357655,11.451468,new,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(C)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2
1146,40.50938,11.369353,new,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(Cl)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2
1147,39.74187,11.720665,new,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(Br)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2
1148,41.442307,10.934364,new,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC(OC)=C(OC)C(OC)=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2
1149,40.39813,12.044407,new,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(C(C)C)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2
1150,40.73791,12.882939,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=C(C)C=CC=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3
1151,41.262054,12.832581,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=C(O)C=CC=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3
1152,40.395092,12.622017,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(F)C=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3
1153,41.225437,12.145749,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(OC)C=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3
1154,41.210968,11.557967,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(OC)C=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3
1155,41.80424,11.976827,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=C(OC)C=CC=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3
1156,40.630974,10.949943,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(Cl)=CC=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3
1157,40.25837,10.755526,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(C(F)(F)F)=CC=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3
1158,41.467564,10.368204,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(C(F)(F)F)=CC=C4)=C(C#N)C(C5=CC(OC)=C(OC)C(OC)=C5)=N3
1159,41.92033,10.874677,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(Cl)C=C4)=C(C#N)C(C5=CC(OC)=C(OC)C(OC)=C5)=N3
1160,41.94662,10.729257,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(Cl)=CC=C4)=C(C#N)C(C5=CC(OC)=C(OC)C(OC)=C5)=N3
1161,40.73388,12.198014,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(C(C)C)C=C4)=C(C#N)C(C5=CC=C(Cl)C=C5)=N3
1162,39.92238,12.467881,new,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(C(C)C)C=C4)=C(C#N)C(C5=CC=C(Br)C=C5)=N3
