Calculated pChEMBL,SMILES,old/new
8.3,CC(NC1CC1c1ccccc1)c1ccc2c(c1)OCCO2,old
8.05,CN1CCN(C(=O)CNC2CC2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,old
6.66,O=C(N/N=C/c1ccccc1O)c1ccc(O)cc1,old
6.1,N[C@@H]1C[C@H]1c1cc(F)cc(F)c1OCc1ccccc1,old
5.89,N[C@@H]1C[C@H]1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,old
4.81,N/C(CC(=O)Nc1ccccc1)=N\O,old
4.77,N/C(CC(=O)Nc1ccccc1O)=N\O,old
5.56,CCNCCCCNCCCCNCCCCNCCCCNC/C=C/CNCCCCNCCCCNCCCCNCCCCNCC,old
5.67,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,old
4.99,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,old
4.16,Fc1ccc(Cn2cc(CSC(=S)N3CCNCC3)nn2)cc1,old
4.54,Cc1ccc(Cn2cc(CSC(=S)N3CCNCC3)nn2)cc1,old
4.71,COc1ccc(Cn2cc(CSC(=S)N3CCNCC3)nn2)cc1,old
4.48,O=C(OCc1ccccc1)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1,old
4.32,O=C(OCc1ccccc1)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1,old
4.27,O=C(OCc1ccccc1)N1CCN(C(=S)SCc2cn(Cc3ccccc3Cl)nn2)CC1,old
4.65,Cc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OCc4ccccc4)CC3)nn2)cc1,old
4.45,COc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OCc4ccccc4)CC3)nn2)cc1,old
4.53,O=C(OCc1ccccc1)N1CCN(C(=S)SCc2cn(Cc3ccc(Cl)c(Cl)c3)nn2)CC1,old
4.36,COc1cc(Cn2cc(CSC(=S)N3CCN(C(=O)OCc4ccccc4)CC3)nn2)cc(OC)c1OC,old
6.41,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(O)ccc34)nn2)CC1,old
5.1,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1,old
4.67,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1,old
4.94,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3Cl)nn2)CC1,old
4.25,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(Cl)cc3)nn2)CC1,old
5.82,Cc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc1,old
4.74,COc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc1,old
4.05,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(Cl)c(Cl)c3)nn2)CC1,old
4.72,COc1cc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc(OC)c1OC,old
4.76,Fc1ccccc1Cn1cc(CSC(=S)N2CCNCC2)nn1,old
4.03,C#CCN(C)CCCOc1cccc(NC(=O)c2ccccc2)c1,old
4.41,C#CCNCC(O)COc1ccc(-c2ccccc2)cc1,old
4.29,C#CCN(C)CC(O)COc1ccc2ccccc2c1,old
4.04,C#CCNCC(O)COc1ccc2ccccc2c1,old
4.65,C#CCN(C)CC(O)COc1ccc2cc(Br)ccc2c1,old
4.29,O=c1c(Cl)c(C(F)(F)F)oc2ccc([N+](=O)[O-])cc12,old
4.36,Cc1cccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)c1,old
4.56,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3Br)nn2)CC1,old
4.15,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(O)cc3)nn2)CC1,old
4.16,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3O)nn2)CC1,old
4.11,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cccc(O)c3)nn2)CC1,old
4.09,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(O)cc3O)nn2)CC1,old
4.29,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3c(F)cccc3F)nn2)CC1,old
4.08,Cc1ccc(Cn2cc(CSC(=S)N3CCN(CCO)CC3)nn2)cc1,old
4.39,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ccccc4)CC3)nn2)cc1,old
4.56,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1,old
4.4,Fc1ccccc1Cn1cc(CSC(=S)N2CCN(c3ncccn3)CC2)nn1,old
4.36,Fc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1,old
4.45,Cc1ccc(Cn2cc(CSC(=S)N3CCN(S(C)(=O)=O)CC3)nn2)cc1,old
4.34,CS(=O)(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1,old
4.26,CS(=O)(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1,old
4.06,FC(F)(F)c1ccc(Cn2cc(CSC(=S)N3CCNCC3)nn2)cc1,old
4.77,CCOC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(C)cc3)nn2)CC1,old
4.82,Cc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)C)CC3)nn2)cc1,old
4.52,CC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1,old
4.33,CC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1,old
4.6,CC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(C)cc3)nn2)CC1,old
6.01,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,old
5.43,N[C@@H]1C[C@H]1c1ccc(Br)cc1,old
4.97,N[C@H]1C[C@@H]1c1ccccc1,old
6.89,C/C(=N\NC(=O)c1ccccc1)c1cc(Cl)ccc1O,old
7.59,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,old
7.85,C/C(=N/NC(=O)c1cccc(S(=O)(=O)N(C)C)c1)c1cc(Cl)ccc1O,old
7.7,N[C@@H]1C[C@H]1c1ccc(-c2cccc(O)c2)cc1,old
6.04,Cl.NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,old
5.01,NC1CC1c1ccc(OCCCC(=O)NCc2ccccc2)cc1,old
5.72,NC1CC1c1ccc(OCCC(NC(=O)c2ccc(O)cc2)C(=O)Nc2ccccc2)cc1,old
4.74,C1=Nc2ccccc2C1CN[C@@H]1C[C@H]1c1ccccc1,old
7.6,COc1cccc(-c2ccc([C@@H]3C[C@H]3NCC(=O)N3CCN(C)CC3)cc2)c1,old
4.92,N[C@H]1C[C@@H]1c1ccc(Oc2ccccc2)cc1,old
6.6,CCNCCCNC/C=C\CNCCCNCC.Cl,old
5.28,COC(=O)c1cc(CN2CCN(C(=N)N)CC2)cc(C(=O)N2CCN(C(=O)c3ccc(C=N)cc3)CC2)c1,old
6.56,O=C(N/N=C/c1cc(Cl)ccc1O)c1ccc(O)cc1,old
6.54,C/C(=N\NC(=O)c1ccc(O)cc1)c1ccccc1O,old
6.71,O=C(N/N=C/c1ccccc1O)c1ccc(Br)cc1,old
6.48,O=C(N/N=C/c1ccccc1O)c1cccc(Cl)c1,old
