,,,,Calculated pChEMBL,SMILES,
992,14.6568,-31.140726,new,8.853871964,N#CC(C=C1)=CC=C1C2=C(C3=CC=C(C)C=C3)N(C)C(C(N4CCC(N)CC4)=N2)=O,2
993,14.604873,-31.121038,new,9.301029996,N#CC(C=C1)=C(F)C=C1C2=C(C3=CC=C(C)C=C3)N(C)C(C(N4CCC(N)CC4)=N2)=O,2
994,14.615572,-31.105116,new,7.958607315,N#CC(C=C1)=CC(F)=C1C2=C(C3=CC=C(C)C=C3)N(C)C(C(N4CCC(N)CC4)=N2)=O,2
995,15.377112,-32.81764,new,8.853871964,N#CC(C=C1)=CC=C1C2=C(C3=CC=C(C)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,2
996,15.315903,-33.082752,new,9.15490196,N#CC(C=C1)=CC=C1C2=C(C3=CC=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,2
997,15.231905,-33.283325,new,9.096910013,N#CC(C=C1)=CC=C1C2=C(C3=CC(F)=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,2
998,15.178677,-33.368237,new,9.522878745,N#CC(C=C1)=C(F)C=C1C2=C(C3=CC(F)=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,2
999,1.028821,30.609545,new,4.590066877,CN1C(C(NC2=CC=CC=C2)=O)=CC3=C1C=CS3,2
1000,2.0403497,31.296793,new,4.517126416,CN1C(C2=NC(C3=CC=CC=C3)=CN2)=CC4=C1C=CS4,2
1001,2.1189983,32.02748,new,5.301029996,CN1C(C2=NC(CC)=CN2)=CC3=C1C=CS3,2
1002,1.9900833,31.994368,new,5.823908741,CN1C(C2=NC(CCC)=CN2)=CC3=C1C=CS3,2
1003,2.052249,31.736315,new,5.640164518,CN1C(C2=NC(C(C)C)=CN2)=CC3=C1C=CS3,2
1004,2.9105654,31.13939,new,5.645891561,CN1C(C2=NC(C3CC3)=CN2)=CC4=C1C=CS4,2
1005,2.9540238,31.111448,new,5.991399828,CN1C(C2=NC(C3CCC3)=CN2)=CC4=C1C=CS4,2
1006,3.7471745,36.509144,new,9.769551079,CN1C(C2=NC(CC)=CN2CCCC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1007,3.7962592,36.574806,new,9.568636236,CN1C(C2=NC(CC)=CN2CCCC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1008,5.0509405,38.450764,new,9.552841969,CN1C(C2=NC(CC)=CN2CCCC3=CC=C(OCC4CNCC4)C=C3)=CC5=C1C=CS5,2
1009,5.1642995,38.45014,new,9.468521083,CN1C(C2=NC(CC)=CN2CCCC3=CC=C(OCC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1010,2.602423,34.754868,new,9.468521083,CN1C(C2=NC(CC)=CN2CCOC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1011,2.5956788,34.693077,new,9.22184875,CN1C(C2=NC(CC)=CN2CCOC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1012,2.7737608,37.04361,new,9.795880017,CN1C(C2=NC(C3CCC3)=CN2CCCC4=CC=C(OC5CCCNCC5)C=C4)=CC6=C1C=CS6,2
1013,2.806542,37.09297,new,10,CN1C(C2=NC(C3CCC3)=CN2CCCC4=CC=C(OC5CCNCC5)C=C4)=CC6=C1C=CS6,2
1014,4.487191,39.317898,new,9.420216403,CN1C(C2=NC(C3CCC3)=CN2CCCC4=CC=C(OCC5CNCC5)C=C4)=CC6=C1C=CS6,2
1015,4.5112505,39.30562,new,9.602059991,CN1C(C2=NC(C3CCC3)=CN2CCCC4=CC=C(OCC5CCNCC5)C=C4)=CC6=C1C=CS6,2
1016,1.5835502,35.52358,new,9.677780705,CN1C(C2=NC(C3CCC3)=CN2CCOC4=CC=C(OC5CCCNCC5)C=C4)=CC6=C1C=CS6,2
1017,1.5759819,35.509754,new,9.721246399,CN1C(C2=NC(C3CCC3)=CN2CCOC4=CC=C(OC5CCNCC5)C=C4)=CC6=C1C=CS6,2
1018,3.864763,36.834,new,9.886056648,CN1C(C2=NC(CCC)=CN2CCCC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1019,3.9310288,36.92621,new,9.744727495,CN1C(C2=NC(CCC)=CN2CCCC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1020,4.9586763,38.363045,new,9.522878745,CN1C(C2=NC(CCC)=CN2CCCC3=CC=C(OCC4CNCC4)C=C3)=CC5=C1C=CS5,2
1021,5.069543,38.392483,new,9.853871964,CN1C(C2=NC(CCC)=CN2CCCC3=CC=C(OCC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1022,2.8025467,35.19519,new,9.886056648,CN1C(C2=NC(CCC)=CN2CCOC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1023,2.7977848,35.164013,new,9.698970004,CN1C(C2=NC(CCC)=CN2CCOC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1024,2.4955208,33.415802,new,5.732828272,CN1C(C2=NC(CC)=CN2CCOC3=CC=CC=C3)=CC4=C1C=CS4,2
1025,2.3769605,32.57801,new,4.705754284,CN1C(C2=NC(CC)=CN2C)=CC3=C1C=CS3,2
